product_2_pairs,count_of_2_pairs
"Sport-100 Helmet,  Red",2044
"Sport-100 Helmet,  Blue",1948
"Sport-100 Helmet,  Black",1883
"Water Bottle - 30 oz., Mountain Bottle Cage",1257
"Water Bottle - 30 oz., Road Bottle Cage",1173
"Mountain Tire Tube, Sport-100 Helmet",1057
"Water Bottle - 30 oz., Sport-100 Helmet",909
"Mountain Tire Tube, HL Mountain Tire",895
"Road Tire Tube, Sport-100 Helmet",688
"Touring Tire Tube, Touring Tire",611
"Mountain Tire Tube, ML Mountain Tire",564
"Half-Finger Gloves,  M",554
"Patch Kit/8 Patches, Mountain Tire Tube",552
"Road Bottle Cage, Road-750 Black",549
"Road Tire Tube, HL Road Tire",546
"Half-Finger Gloves,  S",532
"Half-Finger Gloves,  L",501
"AWC Logo Cap, Water Bottle - 30 oz.",482
"Half-Finger Gloves, Sport-100 Helmet",482
"Road Tire Tube, ML Road Tire",477
"Water Bottle - 30 oz., Road-750 Black",475
"Fender Set - Mountain, Sport-100 Helmet",466
"Long-Sleeve Logo Jersey,  L",464
"Sport-100 Helmet,  46",451
"Mountain Bottle Cage, Sport-100 Helmet",450
"Sport-100 Helmet, Long-Sleeve Logo Jersey",449
"Patch Kit/8 Patches, Road Tire Tube",445
"Long-Sleeve Logo Jersey,  M",442
"Long-Sleeve Logo Jersey,  S",442
"Sport-100 Helmet, HL Mountain Tire",421
"Sport-100 Helmet, Road-550-W Yellow",415
"Sport-100 Helmet,  42",412
"AWC Logo Cap, Sport-100 Helmet",407
"Sport-100 Helmet, Road-750 Black",400
"Road Tire Tube, LL Road Tire",400
"Touring Tire Tube, Sport-100 Helmet",390
"Mountain-200 Black,  46",379
"Water Bottle - 30 oz., Short-Sleeve Classic Jersey",379
"Mountain-200 Silver,  38",372
"Mountain-200 Black,  42",368
"Sport-100 Helmet,  44",366
"Patch Kit/8 Patches, HL Mountain Tire",365
"Mountain Tire Tube, LL Mountain Tire",362
"Short-Sleeve Classic Jersey,  S",359
"Mountain Tire Tube,  Black",359
"Sport-100 Helmet, Mountain-200 Black",358
"Short-Sleeve Classic Jersey,  XL",356
"Sport-100 Helmet,  38",355
"Mountain-200 Black,  38",354
"Mountain Tire Tube,  Red",350
